공고번호,날짜,발주기관,공고명,1순위업체,사업자번호,대표자,투찰금액,투찰률,기초금액,A값,A값적용,예가하한,예가상한,참가업체수
R26BK01600283,2026-07-01,부산광역시 강서구,대저1동 SK진흥주유소~남해고속도로간 도로개설공사(4차),하동건설 주식회사,,,188825620,90.841,,,,,,
R26BK01597191,2026-07-01,부산광역시교육청 부산광역시북부교육지원청,구학초등학교 급식실현대화 및 식당시설확충 기계설비공사,(주)실행건설,,,437883230,90.24,,,,,,
R26BK01601045,2026-07-01,대구광역시 군위군,선곡3리 세천 정비공사,주식회사 유로건설,,,90694830,90.256,,,,,,
R26BK01599146,2026-07-01,충청북도교육청 충청북도진천교육지원청,"진천상산초 외 1교(진천중, 만승초) 바닥보수 및 기타공사 소액수의 견적공고",(주)해광,,,101691000,90.49,,,,,,
R26BK01609355,2026-07-01,해양경찰청,26년 노후 무기고 스마트 관리시스템 구축공사,주식회사 코닥트,,,114644300,97.0,,,,,,
R26BK01609523,2026-07-01,서울특별시 서울아리수본부 강남수도사업소,방배가압장 사무공간 소음 및 진동 개선 공사,이이공아키텍츠,,,37772000,97.938,,,,,,
R26BK01602857,2026-07-01,경기도 안양시,안양종합운동장 테니스장 환경개선 공사,국일내외건축(주),,,65405900,89.968,,,,,,
R26BK01609058,2026-07-01,한국농어촌공사 경북지역본부 영천지사,상암양수장 외 4개소 기계설비 보수 공사,(주)대광기공,,,8880000,80.007,,,,,,
R26BK01599777,2026-07-01,경기도 안양시 만안구,2026년 만안구 관내 도로시설물 보수공사(연간단가) 2차,자연엔지니어링(주),,,72429265,90.388,,,,,,
R26BK01603105,2026-07-01,강원특별자치도교육청 강원특별자치도속초양양교육지원청,양양초 교사2동 환경개선공사,다은건설 주식회사,,,97819685,90.451,,,,,,
R26BK01596972,2026-07-01,경기도교육청 경기도동두천양주교육지원청,경기도동두천양주교육지원청 1권역 유무선 네트워크 개선 3차 정보통신(배관·배선)공사,주식회사 조은시스템,,,381904361,90.39,,,,,,
R26BK01594627,2026-07-01,경기도교육청 낙생고등학교,낙생고등학교 조리실 증축공사,탑이십일건설(주),,,958448990,90.277,,,,,,
R26BK01602578,2026-07-01,충청북도 제천시,시민공원 분수대 쉼터 정비사업,주식회사 창조조경,,,45786070,89.915,,,,,,
R26BK01601742,2026-07-01,경상남도 창원시 상수도사업소,마산합포구 진동면 인곡리 949-1 일원 지방상수도 공급공사,미래산업 주식회사,,,47683420,91.13,,,,,,
R26BK01602503,2026-07-01,경상북도교육청 경상북도포항교육지원청,죽장초등학교 외 1교(구정초) 창호개체 및 기타공사 소액수의 견적제출 공고,종문건설 주식회사,,,157756000,90.319,,,,,,
R26BK01598101,2026-07-01,한국철도공사 회계통합센터,★실적제한/철도신호기술자보유★2026년 대구본부 신호기장치 보수공사,주식회사 다온전력,,,381427740,90.247,,,,,,
R26BK01600588,2026-07-01,충청남도 천안시,2026년 국가하천(곡교천) 제방도로 예초공사,주식회사 한성파크,,,46494500,90.434,,,,,,
R26BK01597097,2026-07-01,경기도교육청 경기도광주하남교육지원청,경안중 교사동 내부 도장공사,주식회사 재운,,,87566480,90.061,,,,,,
R26BK01603491,2026-07-01,전북특별자치도교육청 전북특별자치도김제교육지원청,김제농생명마이스터고 실습1동 외 1동(격납고) 내진보강 및 기타공사,주식회사 벧엘산업개발,,,44501633,90.235,,,,,,
R26BK01608066,2026-07-01,서울특별시 중부공원여가센터,남산청사 중대시민재해 화장실 환경 개선공사,(주)효성에너지팜,,,18880920,90.0,,,,,,
R26BK01609742,2026-07-01,서울특별시 서울시립대학교,중앙도서관 노후 냉난방기 교체 공사,주식회사 윤성이지텍,,,52155000,95.0,,,,,,
R26BK01610322,2026-07-01,한국농어촌공사 경기지역본부 강화옹진지사,한강물 광성양수장 외 5개소 초음파수위계 유지보수 공,최고이엔씨 주식회사,,,43900000,91.898,,,,,,
R26BK01610381,2026-07-01,한국농어촌공사 강원지역본부 홍천.춘천지사,신동2지구 유지관리 공사,범우건설(주),,,15998000,89.997,,,,,,
R26BK01602883,2026-07-01,경상남도 고성군 보건소,고성군 통합건강관리지원센터 조성사업 공사(통신),알파,,,112496070,90.487,,,,,,
R26BK01602680,2026-07-01,강원특별자치도 정선군,삼탄아트마인 전시시설(원시미술관) 콘텐츠 보강사업(전기),주식회사한진전기공사,,,32263956,90.392,,,,,,
R26BK01566880,2026-07-01,교육부 국사편찬위원회,노후 소방시설 교체공사,(주)유진소방,,,77036600,90.257,,,,,,
R26BK01603177,2026-07-01,경상북도 포항시,흥해읍 용곡리 경로당 신축공사(건축),주식회사 백두종합건설,,,361512839,90.326,,,,,,
R26BK01595780,2026-07-01,충청남도 서천군,마산면 이사리 배수로 정비공사,주식회사 대상건설,,,64798000,90.282,,,,,,
R26BK01610047,2026-07-01,한국농어촌공사 경기지역본부 평택지사,오산용수간선외 5개소 안전대책시설 설치공사,주식회사 씨에스건설,,,34000000,91.891,,,,,,
R26BK01600330,2026-07-01,경기도교육청 경기도화성오산교육지원청,화성신동중 공간드림공사 소액수의 견적제출,한신종합건설 주식회사,,,179242000,90.823,,,,,,
R26BK01600021,2026-07-01,충청북도 단양군,단성면 두항리 지하수 개발공사,주식회사 보성수,,,53017390,90.27,,,,,,
R26BK01609261,2026-07-01,국립공원공단 다도해해상국립공원사무소,2026년 다도해해상 덕포명품마을 태양광 발전장치 인버터 교체,지케이 주식회사,,,15109000,97.995,,,,,,
R26BK01602543,2026-07-01,서울특별시,북서울꿈의숲 노후 야외운동공간 정비공사,주식회사 해뜰,,,268680000,91.451,,,,,,
R26BK01603494,2026-07-01,전북특별자치도교육청 전북특별자치도김제교육지원청,광활초 포장 및 기타공사,주식회사 제이티이엔지,,,138288300,90.265,,,,,,
R26BK01602796,2026-07-01,충청북도 청주시,문동리 산26-2 일원 급수(신설)공사,주식회사 성현건설,,,24561830,90.672,,,,,,
R26BK01602981,2026-07-01,경기도 고양시,부촌어린이공원 흙향기 맨발길 조성사업,한아름조경(주),,,67036000,89.902,,,,,,
R26BK01597362,2026-07-01,전북특별자치도교육청 전북특별자치도군산교육지원청,군산남초 후관동 화장실 수선 및 기타 기계설비공사,주식회사 에프엠지,,,257620000,90.335,,,,,,
