공고번호,날짜,발주기관,공고명,1순위업체,투찰금액,투찰률,기초금액
R26BK01697058,2026-09-01,충청남도 서산시,2026년도 하반기 도로반사경 설치 및 유지보수 단가계약,주식회사 와이티건설,6383600,90.341,7053532
R26BK01697881,2026-09-01,경기도 연천군,초성김치체험마을 리모델링 공사(전기),주식회사 보영,30876541,90.358,34140000
R26BK01695544,2026-09-01,전북특별자치도교육청 배영고등학교,배영고등학교 기숙사 전면보수 전기 공사,세인건설(유),161514280,90.365,180414000
R26BK01697941,2026-09-01,부산환경공단 녹산사업소,침사인양기(D호기) 오버홀 수선공사,(주)세진기공,92739686,90.168,103664000
R26BK01690410,2026-09-01,한국농어촌공사 경남지역본부 고성.통영.거제지사,2026년 고성권역 친환경에너지보급사업 해수열히트펌프 설치공사,주식회사 나라기공,498350800,89.847,549961000
R26BK01695423,2026-09-01,경기도 부천시,신흥고가차도 철거 전기공사,대원이엔씨,657378130,90.468,725950000
R26BK01698440,2026-09-01,김천시산림조합,2026년 덩굴제거사업(구성마산지구),주식회사 숲으로,66757900,89.994,74591000
R26BK01698496,2026-09-01,김천시산림조합,2026년 덩굴제거사업(어모은기지구),청구 영림(주),53661030,89.924,59994000
R26BK01697024,2026-09-01,충청남도 서산시,2026년 부춘아파트 외벽 도색 공사,주식회사혜성토건,27532800,89.953,30920000
R26BK01694856,2026-09-01,부산광역시 사하구,26년 노후하수관로 정비공사(3-2단계),주식회사 우송건설,307731500,90.6,340410000
R26BK01696165,2026-09-01,경상남도 합천군,용주지구 농어촌생활용수 개발사업 (평산 외 2개소),제승건설 주식회사,428421700,90.51,474056000
R26BK01698044,2026-09-01,경북 문경시산림조합,2026년 조림지 가꾸기 (1년차) 2차사업 (호계외지구),주식회사 산들,41795000,90.426,46189000
R26BK01696507,2026-09-01,경기도 용인시 기흥구,2026년 기흥구 가로등 유지보수 연간단가공사(2권역-2차),(주)이산컴퍼니,71469180,90.154,80000000
R26BK01695238,2026-09-01,주식회사킨텍스,1전시장 화재감지기 미설치구간 설치,주식회사 에이원방재산업,218921200,92.207,238077000
R26BK01692213,2026-09-01,한국농어촌공사 전북지역본부 부안지사,2026년 부안권역(영주수산) 친환경에너지보급사업 설치공사,유한회사 케이디 엔텍,175649090,89.88,194856000
R26BK01694543,2026-09-01,경기도교육청 경기도의정부교육지원청,어룡초 교사동 옥상방수공사,아림건설(주),245492200,90.366,273130000
R26BK01695094,2026-09-01,울산광역시,제2여과지동 제어판넬 교체공사,주식회사 진성전기공사,267130600,90.359,295073900
R26BK01695345,2026-09-01,충청북도 진천군,진천군 도시바람길숲 조성사업(2차)[긴급],신라조경건설 주식회사,2249391300,89.12,2507900000
R26BK01695980,2026-09-01,제주특별자치도,동부하수처리구역 차집관로 정비사업(2공구),성운건설 주식회사,5228801000,89.023,5918997000
R26BK01695708,2026-09-01,전북특별자치도교육청 배영고등학교,배영고등학교 기숙사 전면보수 공사,(유)유진건설,704896120,90.268,784070000
R26BK01659044,2026-09-01,국방과학연구소,11-1연구동 신축 공사,다인종합건설주식회사,12412971557,84.125,14757000000
R26BK01693734,2026-09-01,서울특별시 양천구,신월2동 주민센터 건립 정보통신공사,주식회사엔엠엑스이엔씨,366563589,90.363,400180000
R26BK01697262,2026-09-01,국토교통부 서울지방국토관리청 수원국토관리사무소,2026년도 수원국토 관내 예초공사,주식회사 원스케이프,266060680,90.468,297050000
R26BK01697666,2026-09-01,경기도교육청 경기도구리남양주교육지원청,(가칭)진접1중 신축 소방공사,주식회사석림이엔지,989256303,89.381,1112425000
R26BK01695323,2026-09-01,한국공항공사 김해공항,사천공항 여객터미널 및 기타시설 화장실 개량공사,성심건설 주식회사,441070700,90.37,487839000
R26BK01700408,2026-09-01,충청남도 보령시,보령시 지식산업센터 건립사업(소방) / 입찰공고문 필독,(합)성원소방설비공사,837325697,90.325,920309000
R26BK01700311,2026-09-01,경상남도 진주시,진양호동물원 사육시설 정비공사,주식회사 신라조경,168617300,90.152,185500000
R26BK01698942,2026-09-01,경기도 안산시,교통사고 위험지역 개선사업(축협사료삼거리),건향개발 주식회사,33499692,90.338,37290000
R26BK01693276,2026-09-01,국민건강보험공단 일산병원,수술실 시설환경개선공사(건축),(주)엘디자인,130666119,90.166,144000000
R26BK01698316,2026-09-01,경상북도 울릉군,보건의료원 응급실 환경개선 공사(전기),주식회사울릉전력이엔지,83638212,90.483,92677000
R26BK01694141,2026-09-01,경기도교육청 경기도수원교육지원청,[긴급]수원매화초 급식실 현대화 기계설비공사,주식회사 거산이앤지,439244500,90.167,490319000
R26BK01696360,2026-09-01,충청북도 청주시 상당구,미원천 유지관리사업,유현종합건설 주식회사,90670670,90.569,99750000
R26BK01694306,2026-09-01,중소기업은행,하남풍산지점 전체 레이아웃 설비공사,(주)재원피앤드티,108002380,90.537,119680000
R26BK01697254,2026-09-01,경상북도교육청 경상북도포항교육지원청,[대행]포항흥해공업고등학교 조명시설개선 전기공사 소액수의 견적제출 공고,금강이엔에스 주식회사,73187900,90.339,81537000
R26BK01700054,2026-09-01,전남광주통합특별시 장성군,죽청지구 급경사지 붕괴위험지역 정비사업(총괄 및 1차분),토영건설 주식회사,1345391550,89.369,1497375000
R26BK01697326,2026-09-01,경기도 수원시 팔달구,2026년 하반기 팔달구 도시공원  시설물 유지관리공사(단가계약),주식회사 공후,52321630,90.218,57270000
R26BK01698762,2026-09-01,(주)휴비스,2026년 탄소중립 설비투자 경매사업_(주)휴비스 전주2공장 터보 공기압축기 설치 및 기계설비공사,유한회사 태영플랜트,41496100,89.941,
R26BK01695811,2026-09-01,전남광주통합특별시 영암군,여름철 재해예방 중소하천(영암천) 준설 공사,주식회사연우건설,39709000,90.102,44810000
R26BK01698177,2026-09-01,서울특별시 강서구,통합신청사 이전을 위한 통신인프라 구축 공사(2차),주식회사 더블유엔에스,427670000,90.393,480740000
R26BK01695970,2026-09-01,제주특별자치도,동부하수처리구역 차집관로 정비사업(1공구) (사업소),헤르지아건설주식회사,3549771950,90.048,3952142000
R26BK01698957,2026-09-01,경기도 남양주시 공원녹지관리사업소,2026년 소하천 유지관리사업(단가계약)-2차 1권역,(주)산지건설,42838980,90.288,47498000
R26BK01693835,2026-09-01,대구광역시,두류지하도상가 등 2개소 실내정원 조성공사,보선건설주식회사,822000000,89.951,912411000
R26BK01698383,2026-09-01,전북특별자치도 무주군,무주 반디나래 지원센터 시설개선사업 통신공사,주식회사 시공,41624587,90.417,45947000
R26BK01690744,2026-09-01,한국농어촌공사 경남지역본부 고성.통영.거제지사,2026년 거제권역 친환경에너지보급사업 해수열히트펌프 설치공사,태성냉동공조(주),377161974,89.839,421681000
R26BK01699930,2026-09-01,서울특별시 광진구,2026년 구의어린이공원 재정비사업,서진조경(주),505147400,90.439,562355000
R26BK01696686,2026-09-01,강원특별자치도교육청 전인고등학교,전인고 기숙사 스프링클러 설치 기계설비공사,(주)동영,24697341,90.356,27177000
R26BK01695460,2026-09-01,전남광주통합특별시 강진군,강진군 서성지구 농촌공간 정비사업,주식회사 녹색조경,590568000,90.093,651153000
R26BK01704800,2026-09-01,한국농어촌공사 영산강사업단,2026년 진산양수장 평야부 밸브실 전기인입공사,주식회사 다우전기,19500000,89.24,
R26BK01698341,2026-09-01,강원특별자치도 강릉시 상하수도사업소,연주로(주문진읍사무소 일원)노후 상수도관 정비사업 절삭 및 덧씌우기 공사,제이디건설 주식회사,29415550,91.274,32810000
