# K-적산 치수표 견본 — 부재 하나에 한 줄. 엑셀로 적으신 뒤 «CSV UTF-8» 로 저장하십시오.
# · 부재  : 재료표의 «부재» 와 글자가 같아야 합니다 (땅깎기 · 흙쌓기 · 터파기 · 포장 · 관로 · 구조물)
# · 부호  : 일람표에서 값을 끌어올 이름입니다 (D600 · BOX-1 …). 없으면 비워 두십시오.
# · 태그  : 공구 · 측점 · 공종. 나중에 «태그별» 시트로 갈라 봅니다.
# · 개소  : 같은 것이 여러 개면 적습니다. 비우면 1 입니다.
# · 나머지 칸(A1·A2·L·W·H·A)은 재료표의 수량식이 쓰는 «이름» 입니다. 칸을 늘리셔도 됩니다.
# · 단위는 «미터» 입니다. 도면의 3000(mm)을 그대로 넣으면 체적이 1000배가 됩니다.
번호,부재,부호,태그1,태그2,태그3,개소,A1,A2,L,W,H,A,비고
1,땅깎기,,1공구,0+000,토공,,12.4,15.8,20,,,,양단면평균법
2,땅깎기,,1공구,0+020,토공,,15.8,18.2,20,,,,
3,땅깎기,,1공구,0+040,토공,,18.2,14.6,20,,,,
4,흙쌓기,,1공구,0+060,토공,,6.2,9.4,20,,,,
5,흙쌓기,,1공구,0+080,토공,,9.4,11.0,20,,,,
6,터파기,,2공구,1+000,배수,,,,24.5,1.2,1.8,,관로 구간
7,터파기,,2공구,1+050,배수,,,,31.0,1.4,2.1,,
8,포장,,1공구,0+000,포장,,,,120.0,6.0,,,표층·기층·보조기층
9,관로,D600,2공구,1+000,배수,,,,24.5,,,,
10,관로,D800,2공구,1+050,배수,,,,31.0,,,,
11,구조물,BOX-1,3공구,2+000,구조물,1,,,,,3.2,7.2,
12,구조물,BOX-2,3공구,2+120,구조물,2,,,,,4.0,9.6,같은 것 2개소
